 Index ,submitdate. Date submitted,Month/Year Submitted, Month Submitted ,  Year Submitted  , lastpage. Last page , Previous PHEVs , Previous BEVs , Previous HEVs , Previous CNGs , Household Income ," Importance of reducing greenhouse gas emissions (03 not important, 3 important) ", Home ownership (own 1) , Home Type (detached 1) , Highest Level of Education , Longest trip in the last 12 months , Number of trips over 200 miles in the last 12 months , One0way commute distance , Number of people in the household , Age , Gender (Male 1) , Number of vehicles in the household , Annual VMT Estimate  ," FCV, BEV Dummy ", Model Year , Manufacture , Model 
0,6/2/2017,6/1/2017,6,2017,42,1,0,0,0,275000,3,1,1,3,483,0,0,2,65,0,2,14622,0,2016, Toyota , Mirai 
1,6/2/2017,6/1/2017,6,2017,42,0,0,1,0,275000,3,1,1,4,568,1,11,3,65,0,3,9197,0,2016, Toyota , Mirai 
4,6/2/2017,6/1/2017,6,2017,42,1,0,0,0,125000,3,1,1,2,255,0,18,2,55,0,3,5082,0,2017, Toyota , Mirai 
5,6/6/2017,6/1/2017,6,2017,42,0,0,1,0,175000,1,1,1,4,313,1,4,2,75,0,2,13025,0,2016, Toyota , Mirai 
7,6/2/2017,6/1/2017,6,2017,42,0,0,1,0,500000,1,1,1,2,126,1,28,3,45,0,3,18000,0,2016, Toyota , Mirai 
8,6/2/2017,6/1/2017,6,2017,42,0,0,0,0,125000,2,1,1,3,118,0,13,4,45,0,2,13224,0,2017, Toyota , Mirai 
9,6/3/2017,6/1/2017,6,2017,42,1,0,1,0,225000,1,1,1,3,112,1,35,4,45,0,3,16080,0,2017, Honda , Clarity 
10,6/2/2017,6/1/2017,6,2017,42,0,0,0,0,125000,1,1,1,3,332,0,33,2,35,0,2,18600,0,2016, Toyota , Mirai 
12,6/3/2017,6/1/2017,6,2017,42,0,1,0,0,175000,3,1,1,4,139,2,4,4,45,0,2,17000,0,2017, Honda , Clarity 
16,6/4/2017,6/1/2017,6,2017,42,0,0,1,0,75000,2,1,1,3,104,1,11,1,65,0,1,6771,0,2016, Hyundai , Tuscon FCV 
17,6/30/2017,6/1/2017,6,2017,42,0,0,1,0,275000,3,1,1,4,161,2,6,2,65,0,2,10200,0,2016, Toyota , Mirai 
20,6/30/2017,6/1/2017,6,2017,42,1,1,0,0,325000,2,1,1,4,1095,50,92,2,55,0,3,15000,0,2016, Toyota , Mirai 
25,6/6/2017,6/1/2017,6,2017,42,0,0,0,0,125000,3,0,1,3,390,3,43,2,55,0,1,11143,0,2017, Toyota , Mirai 
26,6/6/2017,6/1/2017,6,2017,42,0,0,0,0,75000,3,0,0,3,369,1,6,3,55,1,2,9600,0,2017, Toyota , Mirai 
27,6/6/2017,6/1/2017,6,2017,42,1,0,0,0,425000,3,1,1,3,135,0,2,5,45,0,5,8492,0,2016, Toyota , Mirai 
28,6/7/2017,6/1/2017,6,2017,42,1,0,0,0,125000,1,0,0,3,113,0,7,2,55,0,2,13246,0,2017, Toyota , Mirai 
30,6/6/2017,6/1/2017,6,2017,42,0,0,0,0,125000,3,1,0,2,1008,0,26,2,55,1,3,13008,0,2017, Toyota , Mirai 
31,6/6/2017,6/1/2017,6,2017,42,0,0,0,0,175000,3,1,1,4,426,0,1,4,45,0,2,7286,0,2016, Toyota , Mirai 
33,7/3/2017,7/1/2017,7,2017,42,0,0,0,0,475000,3,1,1,4,149,1,13,2,45,1,3,6720,0,2016, Toyota , Mirai 
34,6/6/2017,6/1/2017,6,2017,42,1,0,0,0,325000,3,1,0,4,363,1,20,3,45,1,2,15332,0,2016, Toyota , Mirai 
36,6/21/2017,6/1/2017,6,2017,42,1,0,0,0,500000,2,1,1,4,72,0,48,4,45,0,2,16000,0,2015, Hyundai , Tucson fuel cell 
44,6/6/2017,6/1/2017,6,2017,42,1,0,0,0,175000,1,1,1,4,336,15,113,1,65,1,2,11475,0,2017, Toyota , Mirai 
46,6/6/2017,6/1/2017,6,2017,42,0,0,1,0,500000,3,1,0,4,410,0,25,4,65,0,5,11032,0,2017, Toyota , Mirai 
47,6/6/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,0,0,4,154,9,16,1,45,0,2,11440,0,2016, Toyota , Mirai 
49,6/6/2017,6/1/2017,6,2017,42,0,1,0,0,175000,3,1,1,3,417,0,29,4,55,0,3,11333,0,2017, Toyota , Mirai 
50,6/6/2017,6/1/2017,6,2017,42,0,0,1,0,225000,3,1,1,4,113,5,20,2,65,0,2,11621,0,2016, Toyota , Mirai 
53,6/7/2017,6/1/2017,6,2017,42,1,0,0,0,225000,1,1,1,4,393,0,66,2,55,1,2,24000,0,2016, Toyota , Mirai 
54,6/7/2017,6/1/2017,6,2017,42,1,0,0,0,500000,3,1,1,4,1367,0,44,5,45,0,5,15000,0,2017, Toyota , Mirai 
55,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,175000,3,1,1,4,444,2,29,1,45,0,1,12462,0,2016, Toyota , Mirai 
58,6/7/2017,6/1/2017,6,2017,42,1,0,0,0,325000,2,1,1,4,408,0,9,4,45,0,2,12000,0,2017, Toyota , Mirai 
60,6/7/2017,6/1/2017,6,2017,42,0,1,0,0,500000,1,1,1,1,427,0,34,5,18,0,3,15375,0,2016, Toyota , Mirai 
63,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,125000,2,0,0,2,371,2,10,2,45,0,2,8667,0,2016, Toyota , Mirai 
66,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,275000,1,1,1,4,72,0,16,4,45,0,2,12144,0,2016, Toyota , Mirai 
67,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,275000,3,1,1,4,446,7,7,5,55,0,4,17356,0,2017, Toyota , Mirai 
68,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,175000,3,1,1,4,57,0,30,8,35,0,2,12056,0,2017, Toyota , Mirai 
69,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,225000,3,1,1,2,251,1,10,2,75,0,2,6635,0,2016, Toyota , Mirai 
70,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,225000,1,1,1,4,311,2,19,7,45,0,2,16302,0,2016, Toyota , Mirai 
71,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,125000,3,1,1,4,180,4,23,2,55,0,3,10846,0,2016, Toyota , Mirai 
72,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,500000,3,1,1,3,340,0,14,6,45,0,5,8700,0,2017, Toyota , Mirai 
73,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,275000,3,0,0,4,310,0,57,2,35,0,3,12480,0,2016, Toyota , Mirai 
75,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,275000,2,1,1,4,405,0,34,3,25,0,4,12000,0,2017, Toyota , Mirai 
78,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,175000,1,1,1,3,106,7,3,2,35,0,2,14880,0,2017, Toyota , Mirai 
79,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,275000,2,1,1,4,117,0,16,3,45,0,2,9468,0,2017, Toyota , Mirai 
83,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,75000,2,0,0,3,118,3,3,1,65,0,2,11640,0,2016, Toyota , Mirai 
86,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,275000,2,1,1,3,228,4,12,3,65,0,3,7080,0,2016, Toyota , Mirai 
87,6/7/2017,6/1/2017,6,2017,42,0,1,1,0,225000,3,1,0,3,109,3,54,2,45,0,3,11200,0,2016, Toyota , Mirai 
88,6/8/2017,6/1/2017,6,2017,42,1,1,0,0,125000,0,1,0,4,384,0,43,3,55,0,3,9000,0,2017, Toyota , Mirai 
89,6/29/2017,6/1/2017,6,2017,42,0,0,0,0,225000,3,1,1,3,397,0,18,4,45,0,2,15368,0,2017, Toyota , Mirai 
93,6/7/2017,6/1/2017,6,2017,42,1,0,0,0,125000,1,0,0,4,119,3,31,1,35,0,3,22000,0,2016, Toyota , Mirai 
95,6/7/2017,6/1/2017,6,2017,42,0,1,0,0,175000,3,1,1,4,354,0,36,3,55,0,3,13400,0,2016, Toyota , Mirai 
97,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,375000,3,1,1,4,455,0,10,3,35,0,3,4500,0,2017, Toyota , Mirai 
102,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,175000,3,1,1,3,343,1,39,2,65,0,3,10400,0,2016, Toyota , Mirai 
104,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,125000,2,1,1,3,471,0,22,2,65,0,2,11493,0,2017, Toyota , Mirai 
105,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,175000,3,1,1,3,617,0,20,5,55,0,4,9840,0,2016, Toyota , Mirai 
109,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,475000,3,1,1,4,104,0,31,5,45,0,2,8495,0,2017, Toyota , Mirai 
110,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,275000,3,1,1,4,340,18,9,2,55,0,2,9428,0,2016, Toyota , Mirai 
112,6/8/2017,6/1/2017,6,2017,42,0,0,1,0,225000,3,1,0,2,261,0,24,2,65,0,2,10662,0,2016, Toyota , Mirai 
113,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,125000,2,1,1,3,40,40,2,8,65,0,4,5333,0,2016, Toyota , Mirai 
114,6/7/2017,6/1/2017,6,2017,42,1,0,0,0,125000,2,0,1,2,285,0,26,4,45,0,4,14590,0,2017, Toyota , Mirai 
116,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,275000,2,1,1,3,198,1,23,2,55,0,3,9821,0,2017, Honda , Clarity 
118,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,225000,3,1,1,4,438,1,8,2,65,0,5,5871,0,2016, Toyota , Mirai 
119,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,175000,3,1,1,3,455,5,19,3,55,1,3,16219,0,2016, Toyota , Mirai 
121,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,275000,3,0,1,3,351,1,1,4,45,0,2,8400,0,2017, Toyota , Mirai 
122,6/7/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,1,1,3,200,0,5,2,65,0,2,4120,0,2017, Toyota , Mirai 
124,6/7/2017,6/1/2017,6,2017,42,0,0,0,1,275000,1,1,1,4,117,6,22,3,65,0,3,12369,0,2016, Toyota , Mirai 
125,6/7/2017,6/1/2017,6,2017,42,0,0,0,0,175000,2,1,1,3,266,2,1,5,35,0,3,12000,0,2016, Toyota , Mirai 
130,6/8/2017,6/1/2017,6,2017,42,0,0,1,0,175000,2,0,1,4,434,0,36,2,55,1,2,16188,0,2017, Toyota , Mirai 
133,6/7/2017,6/1/2017,6,2017,42,1,0,1,0,125000,2,1,1,3,57,0,0,4,55,0,2,7522,0,2016, Toyota , Mirai 
135,6/7/2017,6/1/2017,6,2017,42,1,0,0,0,225000,3,1,1,3,78,0,13,3,45,1,2,10714,0,2017, Toyota , Mirai 
136,6/26/2017,6/1/2017,6,2017,42,0,0,0,0,75000,3,0,0,3,426,7,20,1,65,0,2,15396,0,2017, Toyota , Mirai 
137,6/9/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,1,1,3,226,6,13,2,55,1,2,16200,0,2016, Toyota , Mirai 
139,6/8/2017,6/1/2017,6,2017,42,1,1,0,0,125000,3,1,1,2,273,4,25,2,55,0,2,124696,0,2017, Toyota , Mirai 
140,6/8/2017,6/1/2017,6,2017,42,0,0,0,0,425000,3,1,1,4,297,0,40,4,35,0,2,19950,0,2016, Toyota , Mirai 
141,6/8/2017,6/1/2017,6,2017,42,1,1,0,0,125000,3,1,1,4,516,3,6,2,65,0,2,6960,0,2017, Toyota , Mirai 
143,6/8/2017,6/1/2017,6,2017,42,0,0,0,0,175000,0,1,1,3,153,0,43,4,55,0,4,8970,0,2017, Toyota , Mirai 
145,6/8/2017,6/1/2017,6,2017,42,0,0,0,0,125000,3,1,1,2,179,0,11,1,65,0,2,12688,0,2017, Toyota , Mirai 
147,6/8/2017,6/1/2017,6,2017,42,0,0,1,0,225000,3,1,1,3,230,0,1,2,55,0,2,5352,0,2017, Toyota , Mirai 
151,6/8/2017,6/1/2017,6,2017,42,0,0,0,0,175000,0,0,0,3,373,1,24,2,35,1,2,11850,0,2017, Toyota , Mirai 
154,6/8/2017,6/1/2017,6,2017,42,0,0,0,0,175000,3,1,1,4,197,15,5,2,35,0,1,20500,0,2016, Toyota , Mirai 
155,6/8/2017,6/1/2017,6,2017,42,0,1,0,0,125000,1,0,0,3,79,20,1,2,65,0,2,59200,0,2017, Toyota , Mirai 
157,6/8/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,1,1,4,440,0,12,2,65,0,2,6947,0,2016, Toyota , Mirai 
160,6/8/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,1,1,4,349,1,8,2,65,0,3,5143,0,2017, Toyota , Mirai 
161,6/8/2017,6/1/2017,6,2017,42,1,0,0,0,225000,3,1,1,2,351,2,51,2,55,0,2,27570,0,2016, Toyota , Mirai 
164,6/8/2017,6/1/2017,6,2017,42,0,0,1,0,225000,3,1,1,3,534,0,12,4,45,0,3,8501,0,2017, Toyota , Mirai 
166,6/9/2017,6/1/2017,6,2017,42,0,0,0,0,175000,1,1,1,4,372,1,14,4,45,0,3,9840,0,2016, Toyota , Mirai 
167,6/9/2017,6/1/2017,6,2017,42,0,1,1,0,500000,3,1,0,4,278,2,11,4,65,0,3,7680,0,2017, Honda , Clarity 
169,6/9/2017,6/1/2017,6,2017,42,0,0,0,0,175000,0,1,1,3,116,0,48,3,35,0,3,10221,0,2016, Toyota , Mirai 
171,6/9/2017,6/1/2017,6,2017,42,1,0,0,0,175000,3,1,0,4,118,2,4,1,65,0,2,8800,0,2016, Toyota , Mirai 
175,6/9/2017,6/1/2017,6,2017,42,0,0,0,0,325000,2,1,1,4,243,0,8,2,35,0,2,15333,0,2015, Hyundai , Tuscan 
178,6/9/2017,6/1/2017,6,2017,42,0,0,1,0,125000,3,1,0,4,149,2,33,3,55,1,4,12429,0,2017, Toyota , Mirai 
180,6/14/2017,6/1/2017,6,2017,42,0,0,1,0,175000,3,1,1,3,86,12,8,2,65,0,3,11572,0,2015, Hyundai , tuscon 
183,6/10/2017,6/1/2017,6,2017,42,0,1,1,0,275000,2,1,0,4,172,6,2,1,65,0,1,7765,0,2016, Toyota , Mirai 
189,6/10/2017,6/1/2017,6,2017,42,0,0,0,0,225000,3,1,0,3,413,8,45,2,55,0,2,8667,0,2016, Toyota , Mirai 
