Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate,Target,Model Year,Manufacturer,Model
1,0,0,0,275000.0,2,1,1,3,483.14,0,0.01,2,65,0,2,14622,0.0,2016,12,7
0,0,1,0,275000.0,2,1,1,4,568.09,1,10.69,3,65,0,3,9197,0.0,2016,12,7
1,0,0,0,125000.0,2,1,1,2,255.16,0,17.63,2,55,0,3,5082,0.0,2017,12,7
0,0,0,0,125000.0,2,1,1,3,118.02,0,13.35,4,45,0,2,13224,0.0,2017,12,7
1,0,1,0,225000.0,1,1,1,3,111.87,1,34.77,4,45,0,3,16080,0.0,2017,4,3
0,0,0,0,125000.0,0,1,1,3,331.73,0,32.65,2,35,0,2,18600,0.0,2016,12,7
0,1,0,0,175000.0,2,1,1,4,138.6,2,4.42,4,45,0,2,17000,0.0,2017,4,3
0,0,1,0,75000.0,-1,1,1,3,104.29,1,10.86,1,65,0,1,6770,0.0,2016,5,14
0,0,1,0,275000.0,-2,1,1,4,161.04,2,5.71,2,65,0,2,10200,0.0,2016,12,7
0,0,0,0,125000.0,2,0,1,3,389.91,3,42.81,2,55,0,1,11142,0.0,2017,12,7
0,0,0,0,75000.0,2,0,0,3,369.29,1,5.8,3,55,1,2,9600,0.0,2017,12,7
1,0,0,0,125000.0,0,0,0,3,112.7,0,7.16,2,55,0,2,13246,0.0,2017,12,7
0,0,0,0,125000.0,2,1,0,2,1008.22,0,25.86,2,55,1,3,13008,0.0,2017,12,7
0,0,0,0,175000.0,2,1,1,4,426.14,0,0.73,4,45,0,2,7285,0.0,2016,12,7
1,0,0,0,325000.0,2,1,0,4,362.67,1,20.37,3,45,1,2,15331,0.0,2016,12,7
0,0,1,0,125000.0,2,0,0,4,153.63,9,15.76,1,45,0,2,11440,0.0,2016,12,7
0,1,0,0,175000.0,2,1,1,3,417.32,0,28.6,4,55,0,3,11333,0.0,2017,12,7
0,0,1,0,225000.0,2,1,1,4,112.83,5,20.2,2,65,0,2,11621,0.0,2016,12,7
1,0,0,0,225000.0,1,1,1,4,393.02,0,66.35,2,55,1,2,24000,0.0,2016,12,7
0,0,0,0,175000.0,2,1,1,4,444.34,2,28.75,1,45,0,1,12461,0.0,2016,12,7
1,0,0,0,325000.0,1,1,1,4,408.39,0,9.02,4,45,0,2,12000,0.0,2017,12,7
0,0,1,0,125000.0,2,0,0,2,371.24,2,9.86,2,45,0,2,8666,0.0,2016,12,7
0,0,0,0,275000.0,1,1,1,4,71.98,0,16.47,4,45,0,2,12144,0.0,2016,12,7
0,0,1,0,275000.0,2,1,1,4,446.41,7,6.72,5,55,0,4,17356,0.0,2017,12,7
0,0,0,0,125000.0,2,1,1,4,179.67,4,23.06,2,55,0,3,10846,0.0,2016,12,7
0,0,0,0,275000.0,2,0,0,4,309.73,0,57.39,2,35,0,3,12480,0.0,2016,12,7
0,0,1,0,275000.0,1,1,1,4,405.27,0,34.32,3,25,0,4,12000,0.0,2017,12,7
0,0,1,0,175000.0,1,1,1,3,106.27,7,3.33,2,35,0,2,14880,0.0,2017,12,7
0,0,0,0,275000.0,1,1,1,4,116.55,0,15.57,3,45,0,2,9468,0.0,2017,12,7
0,0,1,0,75000.0,2,0,0,3,117.79,3,2.71,1,65,0,2,11640,0.0,2016,12,7
0,0,1,0,275000.0,1,1,1,3,228.39,4,11.79,3,65,0,3,7080,0.0,2016,12,7
0,1,1,0,225000.0,2,1,0,3,109.02,3,53.78,2,45,0,3,11200,0.0,2016,12,7
1,1,0,0,125000.0,0,1,0,4,383.94,0,42.8,3,55,0,3,9000,0.0,2017,12,7
