Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate ,Target,Model Year,Manufacture,Model
1.0,0.0,0.0,0.0,275000.0,2.52,1.0,1.0,3.0,483.14,0.0,0.01,2.0,65.0,0.0,2,14622.0,0.0,2016,12,8
0.0,0.0,1.0,0.0,275000.0,2.76,1.0,1.0,4.0,568.09,1.0,10.69,3.0,65.0,0.0,3,9197.142857142857,0.0,2016,12,8
1.0,0.0,0.0,0.0,125000.0,2.6,1.0,1.0,2.0,255.16,0.0,17.63,2.0,55.0,0.0,3,5082.35294117647,0.0,2017,12,8
0.0,0.0,1.0,0.0,175000.0,1.23,1.0,1.0,4.0,312.78,1.0,3.53,2.0,75.0,0.0,2,13025.454545454546,0.0,2016,12,8
0.0,0.0,1.0,0.0,500000.0,1.08,1.0,1.0,2.0,125.79,1.0,28.05,3.0,45.0,0.0,3,18000.0,0.0,2016,12,8
0.0,0.0,0.0,0.0,125000.0,2.44,1.0,1.0,3.0,118.02,0.0,13.35,4.0,45.0,0.0,2,13224.0,0.0,2017,12,8
1.0,0.0,1.0,0.0,225000.0,1.44,1.0,1.0,3.0,111.87,1.0,34.77,4.0,45.0,0.0,3,16080.0,0.0,2017,4,3
0.0,0.0,0.0,0.0,125000.0,0.85,1.0,1.0,3.0,331.73,0.0,32.65,2.0,35.0,0.0,2,18600.0,0.0,2016,12,8
0.0,1.0,0.0,0.0,175000.0,2.76,1.0,1.0,4.0,138.6,2.0,4.42,4.0,45.0,0.0,2,17000.0,0.0,2017,4,3
0.0,0.0,1.0,0.0,75000.0,-1.74,1.0,1.0,3.0,104.29,1.0,10.86,1.0,65.0,0.0,1,6770.769230769231,0.0,2016,5,15
0.0,0.0,1.0,0.0,275000.0,-2.86,1.0,1.0,4.0,161.04,2.0,5.71,2.0,65.0,0.0,2,10200.0,0.0,2016,12,8
1.0,1.0,0.0,0.0,325000.0,1.56,1.0,1.0,4.0,1095.08,50.0,91.78,2.0,55.0,0.0,3,15000.0,0.0,2016,12,8
0.0,0.0,0.0,0.0,125000.0,2.81,0.0,1.0,3.0,389.91,3.0,42.81,2.0,55.0,0.0,1,11142.857142857143,0.0,2017,12,8
0.0,0.0,0.0,0.0,75000.0,2.53,0.0,0.0,3.0,369.29,1.0,5.8,3.0,55.0,1.0,2,9600.0,0.0,2017,12,8
1.0,0.0,0.0,0.0,425000.0,-3.0,1.0,1.0,3.0,134.94,0.0,2.41,5.0,45.0,0.0,5,8492.307692307693,0.0,2016,12,8
1.0,0.0,0.0,0.0,125000.0,0.92,0.0,0.0,3.0,112.7,0.0,7.16,2.0,55.0,0.0,2,13246.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,125000.0,2.91,1.0,0.0,2.0,1008.22,0.0,25.86,2.0,55.0,1.0,3,13008.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,175000.0,2.69,1.0,1.0,4.0,426.14,0.0,0.73,4.0,45.0,0.0,2,7285.714285714285,0.0,2016,12,8
0.0,0.0,0.0,0.0,475000.0,2.81,1.0,1.0,4.0,149.24,1.0,12.89,2.0,45.0,1.0,3,6720.0,0.0,2016,12,8
1.0,0.0,0.0,0.0,325000.0,2.81,1.0,0.0,4.0,362.67,1.0,20.37,3.0,45.0,1.0,2,15331.5,0.0,2016,12,8
1.0,0.0,0.0,0.0,500000.0,2.04,1.0,1.0,4.0,72.16,0.0,47.79,4.0,45.0,0.0,2,16000.0,0.0,2015,5,15
1.0,0.0,0.0,0.0,175000.0,0.89,1.0,1.0,4.0,335.71,15.0,113.32,1.0,65.0,1.0,2,11475.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,500000.0,2.87,1.0,0.0,4.0,410.32,0.0,25.03,4.0,65.0,0.0,5,11032.0,0.0,2017,12,8
