Station Name,City,State,ZIP,Latitude,Longitude,year
Los Angeles Convention Center,Los Angeles,CA,90015,34.040539,-118.271387,1995
California Air Resources Board,El Monte,CA,91731,34.06872,-118.064,1996
Scripps Green Hospital,La Jolla,CA,92037,32.89947,-117.243,1997
Galpin Motors,Sepulveda,CA,91343,34.221665,-118.468371,2012
Galleria at Tyler,Riverside,CA,92503,33.909914,-117.459053,1997
City of Pasadena - Holly Street Garage,Pasadena,CA,91103,34.14762,-118.147111,1997
City of Pasadena - De Lacey Garage,Pasadena,CA,91105,34.145138,-118.152655,1997
City of Pasadena - Schoolhouse Garage,Pasadena,CA,91105,34.145119,-118.150133,1997
Bristol Farms,South Pasadena,CA,91030,34.118433,-118.149597,1997
Hyatt Regency Long Beach,Long Beach,CA,90802,33.7637,-118.192,2012
Los Angeles International Airport (LAX) - Lot 6,Los Angeles,CA,90045,33.94325,-118.403342,1998
Northridge Fashion Center East Garage Lower Level,Northridge,CA,91324,34.2387162,-118.554686,1998
Ontario Airport Hotel and Conference Center,Ontario,CA,91764,34.07122,-117.575,1998
Courtyard Marriott - Oxnard Ventura,Oxnard,CA,93030,34.228315,-119.170865,1998
Hilton - Palm Springs,Palm Springs,CA,92262,33.824004,-116.543589,2011
East Bay Mini,Pleasanton,CA,94588,37.700187,-121.876172,2012
Inland Empire Foods,Riverside,CA,92509,34.0189,-117.38,1998
Sacramento International Airport - Daily A Lot,Sacramento,CA,95837,38.69005,-121.58889,1998
City of Santa Monica - Airport,Santa Monica,CA,90405,34.017081,-118.44704,1998
City of Santa Monica - Pier,Santa Monica,CA,90405,34.010021,-118.49583,2019
Westfield Parking Garage 1st Floor,Sherman Oaks,CA,91423,34.1564065,-118.4389655,1998
Universal City Hilton,Universal City,CA,91608,34.138717,-118.35904,1998
Office Max - Home Depot,Downey,CA,90241,33.94756,-118.153806,1998
Hyatt at Fisherman's Wharf,San Francisco,CA,94133,37.80619,-122.4152,1998
Arden Fair Mall,Sacramento,CA,95815,38.599693,-121.427045,2019
Japan Center Garage,San Francisco,CA,94115,37.784912,-122.430237,2002
Palace Hotel,San Francisco,CA,94105,37.78881,-122.401,2002
Mark Hopkins InterContinental Hotel,San Francisco,CA,94108,37.791791,-122.411265,2002
Hotel Sofitel,Los Angeles,CA,90048,34.076264,-118.377527,2002
Music Center Parking - Level 2,Los Angeles,CA,90012,34.057657,-118.24789,2002
California State University - Northridge,Northridge,CA,91330,34.248959,-118.523887,2002
California State University - Northridge,Northridge,CA,91330,34.241687,-118.528543,2002
California State University - Northridge,Northridge,CA,91330,34.236853,-118.532588,2002
Los Angeles Harbor Department Headquarters,San Pedro,CA,90731,33.740758,-118.28192,2013
Sylmar Station,San Fernando,CA,91342,34.293717,-118.449219,2019
Getty Center,Los Angeles,CA,90049,34.077588,-118.474585,2013
Los Angeles County - Arboretum,Arcadia,CA,91007,34.145528,-118.050548,2014
City of Glendora - City Hall,Glendora,CA,91741,34.13556,-117.864,2002
DoubleTree Hotel - Los Angeles - Westside,Culver City,CA,90230,33.9826,-118.3966,2019
Helms Bakery Building,Los Angeles,CA,90034,34.029971,-118.385231,2017
Westfield MainPlace Mall,Santa Ana,CA,92705,33.777054,-117.870566,2002
California State University - Channel Islands,Camarillo,CA,93012,34.16657601660278,-119.0458546627045,2002
Brea Downtown Parking,Brea,CA,92821,33.919899,-117.898618,2002
Home Depot,Newbury Park,CA,91320,34.192178,-118.934793,2002
Lake Casitas Municipal Water District - Recreational Area,Oak View,CA,93022,34.418322,-119.3368,2002
San Dimas Park & Ride,San Dimas,CA,91773,34.105275,-117.809208,2002
City of Pasadena - El Molino Lot,Pasadena,CA,91101,34.147709,-118.136621,2002
Ventura County Government Center,Ventura,CA,93009,34.267352,-119.2124,2012
Ventura County Air Pollution Control District,Ventura,CA,93003,34.268756,-119.2154,2012
Pacific View Mall,Ventura,CA,93003,34.268,-119.2492,2002
University of California - Davis Extension - Lot 80,Davis,CA,95616,38.539336,-121.732405,2004
Soquel & Front Garage,Santa Cruz,CA,95061,36.973393,-122.024849,1998
Fair Oaks - Orangevale - Community Library,Fair Oaks,CA,95628,38.66292,-121.2634,2004
Sutter Galleria Mall - University of California - Davis Extension,Sacramento,CA,95816,38.57277,-121.467902,2004
North Highlands Library,Antelope,CA,95843,38.7042,-121.365,2019
University of California - Davis - Medical Center,Sacramento,CA,95817,38.552483,-121.4487,2019
City of Sacramento - Belle Cooledge Library,Sacramento,CA,95822,38.524403,-121.5112,2013
Mosquito Road Park and Ride,Placerville,CA,95667,38.73323,-120.78962,2004
City of Vacaville - Cultural Center,Vacaville,CA,95687,38.356027,-121.9628,2004
Stars Recreation Center,Vacaville,CA,95688,38.36557,-121.967,2004
City of Vacaville - Regional Transport Center,Vacaville,CA,95688,38.35172,-121.987,2004
Office of Housing & Redevelopment,Vacaville,CA,95688,38.356907,-122.001886,2004
KUIC Radio - Parking Lot,Vacaville,CA,95688,38.355867,-121.9862,2004
City of Vacaville - City Hall,Vacaville,CA,95688,38.351758,-121.994475,2004
Citrus Heights City Hall,Citrus Heights,CA,95621,38.682605,-121.297614,2016
Pitt School Plaza,Dixon,CA,95620,38.457369,-121.842567,2004
El Dorado County Government Center,Placerville,CA,95667,38.72799,-120.828,2004
El Dorado Transit Park & Ride,El Dorado Hills,CA,95762,38.6476,-121.067,2012
CVS Pharmacy,Granite Bay,CA,95746,38.74453,-121.17,1998
Carmichael Library,Carmichael,CA,95608,38.618066,-121.334337,2004
Burlington International Airport,South Burlington,VT,5403,44.469281,-73.154972,2014
Rio Vista City Hall,Rio Vista,CA,94571,38.15485,-121.69,2006
Fairfield City Hall,Fairfield,CA,94533,38.25281,-122.044229,2012
Solano Community College,Fairfield,CA,94534,38.23723,-122.123,2005
Vallejo Ferry Terminal,Vallejo,CA,94590,38.105062,-122.265895,2005
Los Angeles International Airport (LAX) - Lot 1,Los Angeles,CA,90045,33.944761,-118.399767,2011
Burlington International Airport,South Burlington,VT,5403,44.469281,-73.154972,2004
City of Lacey - City Hall Parking,Lacey,WA,98503,47.044011,-122.822404,2018
Oregon Museum of Science and Industry (OMSI) - South Parking Lot,Portland,OR,97214,45.508396,-122.664667,2008
City of Ukiah - Public Parking Lot,Ukiah,CA,95482,39.15,-123.2091,2008
Nut Tree Village,Vacaville,CA,95688,38.368755,-121.961192,2008
Placer County Community Development Resource Center,Auburn,CA,95603,38.9412492,-121.1054805,2008
4th and G Plaza Public Parking Garage,Davis,CA,95616,38.54643,-121.7388,2008
Davis Amtrak Station,Davis,CA,95616,38.5443,-121.738,2008
University of California - Davis - Quad Parking Structure,Davis,CA,95616,38.544538,-121.749713,2008
University Covenant Church,Davis,CA,95618,38.55755,-121.6947,2008
Lakewood Center Mall,Lakewood,CA,90712,33.84788,-118.13889,2012
Golden Gate Ferry Terminal,Larkspur,CA,94939,37.94495,-122.5096,2008
Oakland International Airport - Daily Lot,Oakland,CA,94621,37.7136,-122.2087,2012
Seattle-Tacoma International Airport - General Parking,Seattle,WA,98188,47.443377,-122.296229,2010
Discovery Center of Idaho,Boise,ID,83702,43.608009,-116.197968,2017
Travis Park United Methodist Church,San Antonio,TX,78205,29.427254,-98.490136,2009
City of Keizer - City Hall,Salem,OR,97303,44.99574,-123.019758,2009
Fairfield Transportation Center,Fairfield,CA,94533,38.2482,-122.0678,2009
LINCOLN CITY TAFT DUAL 1,Lincoln City,OR,97367,44.928439,-124.015824,2010
OUC RELIABLE 01,Orlando,FL,32801,28.535975,-81.379663,2011
MGE WILLY ST E,Madison,WI,53703,43.083979,-89.363091,2009
Haggen Food & Pharmacy,Olympia,WA,98502,47.035421,-122.938962,2009
LBCC  LBCC DUAL 2,Albany,OR,97321,44.586123,-123.115389,2009
Home Depot,San Luis Obispo,CA,93405,35.249929,-120.689683,2000
San Luis Obispo Promenade - Bed Bath & Beyond,San Luis Obispo,CA,93401,35.25982,-120.676,2000
Avista Corp,Spokane,WA,99252,47.673347,-117.388933,2010
Steam Plant Grill,Spokane,WA,99201,47.654998,-117.425025,2010
Kum & Go #4110,Des Moines,IA,50317,41.615759,-93.57875,2010
Kum & Go #570,Johnston,IA,50131,41.682385,-93.698315,2010
Element Hotels - Ewing,Ewing,NJ,8628,40.286518,-74.807516,2010
Lane Community College,Eugene,OR,97405,44.009797,-123.033213,2010
BROOKFIELD PROP 300 CLAY STAT1,Houston,TX,77002,29.756604,-95.372854,2015
Hudson Valley Community College - TEC-SMART Building,Malta,NY,12020,42.97167,-73.774182,2010
City of Spartanburg - Municipal Parking Garage,Spartanburg,SC,29306,34.950136,-81.93279,2010
City of Spartanburg - Municipal Parking Garage,Spartanburg,SC,29306,34.951926,-81.931714,2010
City of Union Town Hall,Union,SC,29379,34.715982,-81.624616,2010
Whole Foods Market,Fairfield,CT,6824,41.157925,-73.240315,2011
Propark America - Omni Hotel Chapel Square Garage,New Haven,CT,6510,41.305794,-72.927405,2010
City of New Haven - Air Rights Garage,New Haven,CT,6511,41.305265,-72.934141,2011
New London Parking Authority - Water Street Public Parking Garage,New London,CT,6320,41.355486,-72.093784,2013
Town of Westport - Westport Metro North,Westport,CT,6880,41.119291,-73.369266,2012
Park 'N Fly - Bradley International Airport,Suffield,CT,6078,41.951328,-72.663078,2011
GATEWAYKENOSHA  HORIZON MAINLOT,Kenosha,WI,53144,42.592469,-87.915847,2010
MGE GREENWAY STAT,Middleton,WI,53562,43.091229,-89.52884,2010
Spinx #149,Columbia,SC,29206,34.042116,-80.939041,2010
Baker Electric Building,Cleveland,OH,44103,41.503373,-81.639054,2010
McDonald's,Huntington,WV,25703,38.417603,-82.456866,2010
OUC OUC OCCC 03,Orlando,FL,32819,28.429015,-81.458938,2012
OUC OC MED EXAM 01,Orlando,FL,32806,28.512494,-81.351919,2012
French Gerleman,St. Louis,MO,63146,38.694036,-90.4218,2011
HILLSBORO OR MAIN ST 1,Hillsboro,OR,97123,45.522609,-122.988535,2010
HILLSBORO OR EV-8,Hillsboro,OR,97123,45.520533,-122.978089,2010
BELLEVUE BELLEVUE CH 1,Bellevue,WA,98004,47.614744,-122.193162,2010
Oregon Museum of Science and Industry (OMSI) - North Parking Lot,Portland,OR,97214,45.509326,-122.666392,2008
Liberty Park,Salt Lake City,UT,84119,40.74686,-111.876,2010
The Evergreen State College,Olympia,WA,98505,47.071917,-122.976675,2009
JCCC MTC,Overland Park,KS,66210,38.92591,-94.72819,2011
Courtyard Marriott - Hadley Amherst,Hadley,MA,1035,42.36262,-72.5395,2011
City of Delray Beach - Banker's Row Parking Lot,Delray Beach,FL,33444,26.465314,-80.07219,2011
KING COUNTY DOT ISSAQUAH P&R 2,Issaquah,WA,98027,47.545324,-122.0195,2008
SEAPORT GARAGE EAST GARAGE2 P1,Boston,MA,2210,42.349249,-71.041557,2009
City of Columbia - Cannon Garage,Columbia,SC,29201,34.00741493349311,-81.03480060447691,2011
City of Columbia - Washington Street Garage,Columbia,SC,29201,34.003323,-81.035693,2011
City of Columbia - Arsenal Hill Garage,Columbia,SC,29201,34.008409,-81.041802,2011
City of Columbia - Lincoln Street Garage,Columbia,SC,29201,34.002255,-81.040219,2011
Greenville Zoo,Greenville,SC,29601,34.84709,-82.387269,2011
City of Greenville - Poinsett Garage,Greenville,SC,29601,34.849724,-82.400667,2011
City of Greenville - Spring Street Garage,Greenville,SC,29601,34.849889,-82.397797,2011
City of Greenville - Church Street Garage,Greenville,SC,29601,34.852754,-82.393113,2011
City of Columbia - Park Street Garage,Columbia,SC,29201,33.997786,-81.036161,2011
City of Greenville - Commons Garage,Greenville,SC,29601,34.852789,-82.396195,2011
City of Greenville - Liberty Square Garage,Greenville,SC,29601,34.85335,-82.394826,2011
City of Greenville - Richardson Garage,Greenville,SC,29601,34.852437,-82.399901,2011
City of Rock Hill - Municipal Garage,Rock Hill,SC,29730,34.925782,-81.028444,2011
Timken Sports Complex,Union,SC,29379,34.716556,-81.648482,2011
Lockhart Power,Lockhart,SC,29364,34.77993955183312,-81.4573590734024,2011
Toyota of Santa Monica,Santa Monica,CA,90401,34.019875,-118.49151,2010
Beach & Hyde Garage,San Francisco,CA,94109,37.806798,-122.419488,2011
City of Santa Monica - Civic Parking Garage,Santa Monica,CA,90401,34.010528,-118.4898,2010
Denver International Airport - Canopy Airport Parking,Commerce City,CO,80022,39.843886,-104.771138,2010
Town of Superior - Town Hall,Superior,CO,80027,39.953798,-105.166116,2020
Charles Hotel - Harvard Square,Cambridge,MA,2138,42.372442,-71.122882,2010
Town of Dyer - Town Hall,Dyer,IN,46311,41.492057,-87.522819,2010
Peaches Bed & Breakfast,Grand Rapids,MI,49503,42.962078,-85.659019,2011
City Hall Annex - Town of Normal,Normal,IL,61761,40.507796,-88.982897,2011
College Avenue Parking Deck,Normal,IL,61761,40.511172,-88.984985,2011
UWB CASCADIA CC NORTH LEVEL 3 N,Bothell,WA,98011,47.761878,-122.191915,2011
CITY OF REDMOND CITY HALL DUAL,Redmond,WA,98052,47.679224,-122.12995,2011
CITY OF REDMOND MOC #1 PUBLIC,Redmond,WA,98052,47.672359,-122.099034,2011
MGE PINNACLE HEALTH,Fitchburg,WI,53719,43.011411,-89.459112,2011
MGE WILLY ST W,Middleton,WI,53562,43.096636,-89.500008,2011
City of Raleigh - Municipal Building,Raleigh,NC,27601,35.778416,-78.64347,2010
City of Raleigh - Downtown,Raleigh,NC,27601,35.77435,-78.642287,2011
Clay Cooley Nissan,Austin,TX,78745,30.206145,-97.759109,2011
Super 8 - Ukiah,Ukiah,CA,95482,39.1458,-123.198497,2011
Hotel Floyd,Floyd,VA,24091,36.910575,-80.31736,2011
Virginia Commonwealth University (VCU) - West Broad Street Parking Deck,Richmond,VA,23284,37.551409,-77.45233,2011
Oak Ridge Nissan,Oak Ridge,TN,37830,36.010279,-84.268049,2011
Newton Nissan South,Shelbyville,TN,37160,35.558371,-86.448276,2011
McGavock Nissan - Abilene,Abilene,TX,79606,32.408909,-99.771463,2011
McGavock Nissan - Amarillo,Amarillo,TX,79119,35.159354,-101.938937,2011
Don Davis Nissan,Arlington,TX,76018,32.676458,-97.087169,2011
Town North Nissan,Austin,TX,78758,30.374542,-97.731445,2011
Baytown Nissan,Baytown,TX,77521,29.80725299717069,-94.97383364868772,2011
Mike Smith Nissan,Beaumont,TX,77701,30.062535,-94.133511,2011
Grubbs Nissan,Bedford,TX,76022,32.839339,-97.160994,2011
Douglass Nissan,College Station,TX,77845,30.639201,-96.30671,2011
Ed Hicks Nissan,Corpus Christi,TX,78415,27.73082,-97.416019,2011
Clay Cooley Nissan,Dallas,TX,75237,32.646784,-96.863492,2010
Classic Nissan,Denison,TX,75020,33.775328,-96.58308,2011
Casa Nissan,El Paso,TX,79925,31.783928,-106.417267,2011
Viva Nissan,El Paso,TX,79936,31.724024,-106.302211,2011
